id,user_id,img_path,garment_type,garment_category,formality,weather
1,1,http://dummyimage.com/100x100.png/cc0000/ffffff,1,1,1,1
2,2,http://dummyimage.com/100x100.png/dddddd/000000,2,2,2,2
3,3,http://dummyimage.com/100x100.png/cc0000/ffffff,3,3,3,3
4,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,4,4,1,1
5,5,http://dummyimage.com/100x100.png/ff4444/ffffff,5,1,2,2
6,1,http://dummyimage.com/100x100.png/dddddd/000000,6,2,3,3
7,2,http://dummyimage.com/100x100.png/ff4444/ffffff,7,3,1,1
8,3,http://dummyimage.com/100x100.png/ff4444/ffffff,8,4,2,2
9,4,http://dummyimage.com/100x100.png/cc0000/ffffff,9,1,3,3
10,5,http://dummyimage.com/100x100.png/dddddd/000000,10,2,1,1
11,1,http://dummyimage.com/100x100.png/cc0000/ffffff,11,3,2,2
12,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,12,4,3,3
13,3,http://dummyimage.com/100x100.png/dddddd/000000,13,1,1,1
14,4,http://dummyimage.com/100x100.png/cc0000/ffffff,14,2,2,2
15,5,http://dummyimage.com/100x100.png/dddddd/000000,15,3,3,3
16,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,16,4,1,1
17,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,17,1,2,2
18,3,http://dummyimage.com/100x100.png/ff4444/ffffff,18,2,3,3
19,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,19,3,1,1
20,5,http://dummyimage.com/100x100.png/dddddd/000000,20,4,2,2
21,1,http://dummyimage.com/100x100.png/dddddd/000000,21,1,3,3
22,2,http://dummyimage.com/100x100.png/cc0000/ffffff,22,2,1,1
23,3,http://dummyimage.com/100x100.png/dddddd/000000,23,3,2,2
24,4,http://dummyimage.com/100x100.png/cc0000/ffffff,24,4,3,3
25,5,http://dummyimage.com/100x100.png/cc0000/ffffff,25,1,1,1
26,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,26,2,2,2
27,2,http://dummyimage.com/100x100.png/dddddd/000000,27,3,3,3
28,3,http://dummyimage.com/100x100.png/cc0000/ffffff,28,4,1,1
29,4,http://dummyimage.com/100x100.png/dddddd/000000,29,1,2,2
30,5,http://dummyimage.com/100x100.png/dddddd/000000,30,2,3,3
31,1,http://dummyimage.com/100x100.png/ff4444/ffffff,31,3,1,1
32,2,http://dummyimage.com/100x100.png/cc0000/ffffff,32,4,2,2
33,3,http://dummyimage.com/100x100.png/ff4444/ffffff,33,1,3,3
34,4,http://dummyimage.com/100x100.png/cc0000/ffffff,34,2,1,1
35,5,http://dummyimage.com/100x100.png/dddddd/000000,35,3,2,2
36,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,36,4,3,3
37,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,37,1,1,1
38,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,38,2,2,2
39,4,http://dummyimage.com/100x100.png/ff4444/ffffff,39,3,3,3
40,5,http://dummyimage.com/100x100.png/dddddd/000000,40,4,1,1
41,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,41,1,2,2
42,2,http://dummyimage.com/100x100.png/dddddd/000000,42,2,3,3
43,3,http://dummyimage.com/100x100.png/ff4444/ffffff,43,3,1,1
44,4,http://dummyimage.com/100x100.png/dddddd/000000,44,4,2,2
45,5,http://dummyimage.com/100x100.png/ff4444/ffffff,45,1,3,3
46,1,http://dummyimage.com/100x100.png/cc0000/ffffff,46,2,1,1
47,2,http://dummyimage.com/100x100.png/cc0000/ffffff,47,3,2,2
48,3,http://dummyimage.com/100x100.png/dddddd/000000,48,4,3,3
49,4,http://dummyimage.com/100x100.png/dddddd/000000,49,1,1,1
50,5,http://dummyimage.com/100x100.png/cc0000/ffffff,50,2,2,2
51,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,1,3,3,3
52,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,2,4,1,1
53,3,http://dummyimage.com/100x100.png/cc0000/ffffff,3,1,2,2
54,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,4,2,3,3
55,5,http://dummyimage.com/100x100.png/cc0000/ffffff,5,3,1,1
56,1,http://dummyimage.com/100x100.png/cc0000/ffffff,6,4,2,2
57,2,http://dummyimage.com/100x100.png/cc0000/ffffff,7,1,3,3
58,3,http://dummyimage.com/100x100.png/ff4444/ffffff,8,2,1,1
59,4,http://dummyimage.com/100x100.png/cc0000/ffffff,9,3,2,2
60,5,http://dummyimage.com/100x100.png/cc0000/ffffff,10,4,3,3
61,1,http://dummyimage.com/100x100.png/cc0000/ffffff,11,1,1,1
62,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,12,2,2,2
63,3,http://dummyimage.com/100x100.png/cc0000/ffffff,13,3,3,3
64,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,14,4,1,1
65,5,http://dummyimage.com/100x100.png/ff4444/ffffff,15,1,2,2
66,1,http://dummyimage.com/100x100.png/cc0000/ffffff,16,2,3,3
67,2,http://dummyimage.com/100x100.png/dddddd/000000,17,3,1,1
68,3,http://dummyimage.com/100x100.png/ff4444/ffffff,18,4,2,2
69,4,http://dummyimage.com/100x100.png/cc0000/ffffff,19,1,3,3
70,5,http://dummyimage.com/100x100.png/ff4444/ffffff,20,2,1,1
71,1,http://dummyimage.com/100x100.png/ff4444/ffffff,21,3,2,2
72,2,http://dummyimage.com/100x100.png/ff4444/ffffff,22,4,3,3
73,3,http://dummyimage.com/100x100.png/ff4444/ffffff,23,1,1,1
74,4,http://dummyimage.com/100x100.png/dddddd/000000,24,2,2,2
75,5,http://dummyimage.com/100x100.png/dddddd/000000,25,3,3,3
76,1,http://dummyimage.com/100x100.png/cc0000/ffffff,26,4,1,1
77,2,http://dummyimage.com/100x100.png/ff4444/ffffff,27,1,2,2
78,3,http://dummyimage.com/100x100.png/cc0000/ffffff,28,2,3,3
79,4,http://dummyimage.com/100x100.png/cc0000/ffffff,29,3,1,1
80,5,http://dummyimage.com/100x100.png/dddddd/000000,30,4,2,2
81,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,31,1,3,3
82,2,http://dummyimage.com/100x100.png/cc0000/ffffff,32,2,1,1
83,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,33,3,2,2
84,4,http://dummyimage.com/100x100.png/dddddd/000000,34,4,3,3
85,5,http://dummyimage.com/100x100.png/dddddd/000000,35,1,1,1
86,1,http://dummyimage.com/100x100.png/cc0000/ffffff,36,2,2,2
87,2,http://dummyimage.com/100x100.png/cc0000/ffffff,37,3,3,3
88,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,38,4,1,1
89,4,http://dummyimage.com/100x100.png/ff4444/ffffff,39,1,2,2
90,5,http://dummyimage.com/100x100.png/ff4444/ffffff,40,2,3,3
91,1,http://dummyimage.com/100x100.png/dddddd/000000,41,3,1,1
92,2,http://dummyimage.com/100x100.png/cc0000/ffffff,42,4,2,2
93,3,http://dummyimage.com/100x100.png/dddddd/000000,43,1,3,3
94,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,44,2,1,1
95,5,http://dummyimage.com/100x100.png/ff4444/ffffff,45,3,2,2
96,1,http://dummyimage.com/100x100.png/ff4444/ffffff,46,4,3,3
97,2,http://dummyimage.com/100x100.png/dddddd/000000,47,1,1,1
98,3,http://dummyimage.com/100x100.png/dddddd/000000,48,2,2,2
99,4,http://dummyimage.com/100x100.png/dddddd/000000,49,3,3,3
100,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,50,4,1,1
101,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,1,1,2,2
102,2,http://dummyimage.com/100x100.png/dddddd/000000,2,2,3,3
103,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,3,3,1,1
104,4,http://dummyimage.com/100x100.png/dddddd/000000,4,4,2,2
105,5,http://dummyimage.com/100x100.png/dddddd/000000,5,1,3,3
106,1,http://dummyimage.com/100x100.png/dddddd/000000,6,2,1,1
107,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,7,3,2,2
108,3,http://dummyimage.com/100x100.png/dddddd/000000,8,4,3,3
109,4,http://dummyimage.com/100x100.png/ff4444/ffffff,9,1,1,1
110,5,http://dummyimage.com/100x100.png/dddddd/000000,10,2,2,2
111,1,http://dummyimage.com/100x100.png/ff4444/ffffff,11,3,3,3
112,2,http://dummyimage.com/100x100.png/ff4444/ffffff,12,4,1,1
113,3,http://dummyimage.com/100x100.png/dddddd/000000,13,1,2,2
114,4,http://dummyimage.com/100x100.png/dddddd/000000,14,2,3,3
115,5,http://dummyimage.com/100x100.png/dddddd/000000,15,3,1,1
116,1,http://dummyimage.com/100x100.png/dddddd/000000,16,4,2,2
117,2,http://dummyimage.com/100x100.png/cc0000/ffffff,17,1,3,3
118,3,http://dummyimage.com/100x100.png/cc0000/ffffff,18,2,1,1
119,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,19,3,2,2
120,5,http://dummyimage.com/100x100.png/cc0000/ffffff,20,4,3,3
121,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,21,1,1,1
122,2,http://dummyimage.com/100x100.png/ff4444/ffffff,22,2,2,2
123,3,http://dummyimage.com/100x100.png/ff4444/ffffff,23,3,3,3
124,4,http://dummyimage.com/100x100.png/dddddd/000000,24,4,1,1
125,5,http://dummyimage.com/100x100.png/cc0000/ffffff,25,1,2,2
126,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,26,2,3,3
127,2,http://dummyimage.com/100x100.png/dddddd/000000,27,3,1,1
128,3,http://dummyimage.com/100x100.png/dddddd/000000,28,4,2,2
129,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,29,1,3,3
130,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,30,2,1,1
131,1,http://dummyimage.com/100x100.png/dddddd/000000,31,3,2,2
132,2,http://dummyimage.com/100x100.png/ff4444/ffffff,32,4,3,3
133,3,http://dummyimage.com/100x100.png/cc0000/ffffff,33,1,1,1
134,4,http://dummyimage.com/100x100.png/ff4444/ffffff,34,2,2,2
135,5,http://dummyimage.com/100x100.png/dddddd/000000,35,3,3,3
136,1,http://dummyimage.com/100x100.png/dddddd/000000,36,4,1,1
137,2,http://dummyimage.com/100x100.png/ff4444/ffffff,37,1,2,2
138,3,http://dummyimage.com/100x100.png/cc0000/ffffff,38,2,3,3
139,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,39,3,1,1
140,5,http://dummyimage.com/100x100.png/dddddd/000000,40,4,2,2
141,1,http://dummyimage.com/100x100.png/dddddd/000000,41,1,3,3
142,2,http://dummyimage.com/100x100.png/cc0000/ffffff,42,2,1,1
143,3,http://dummyimage.com/100x100.png/dddddd/000000,43,3,2,2
144,4,http://dummyimage.com/100x100.png/cc0000/ffffff,44,4,3,3
145,5,http://dummyimage.com/100x100.png/dddddd/000000,45,1,1,1
146,1,http://dummyimage.com/100x100.png/ff4444/ffffff,46,2,2,2
147,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,47,3,3,3
148,3,http://dummyimage.com/100x100.png/cc0000/ffffff,48,4,1,1
149,4,http://dummyimage.com/100x100.png/cc0000/ffffff,49,1,2,2
150,5,http://dummyimage.com/100x100.png/cc0000/ffffff,50,2,3,3
151,1,http://dummyimage.com/100x100.png/dddddd/000000,1,3,1,1
152,2,http://dummyimage.com/100x100.png/cc0000/ffffff,2,4,2,2
153,3,http://dummyimage.com/100x100.png/cc0000/ffffff,3,1,3,3
154,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,4,2,1,1
155,5,http://dummyimage.com/100x100.png/cc0000/ffffff,5,3,2,2
156,1,http://dummyimage.com/100x100.png/dddddd/000000,6,4,3,3
157,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,7,1,1,1
158,3,http://dummyimage.com/100x100.png/ff4444/ffffff,8,2,2,2
159,4,http://dummyimage.com/100x100.png/ff4444/ffffff,9,3,3,3
160,5,http://dummyimage.com/100x100.png/ff4444/ffffff,10,4,1,1
161,1,http://dummyimage.com/100x100.png/ff4444/ffffff,11,1,2,2
162,2,http://dummyimage.com/100x100.png/cc0000/ffffff,12,2,3,3
163,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,13,3,1,1
164,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,14,4,2,2
165,5,http://dummyimage.com/100x100.png/ff4444/ffffff,15,1,3,3
166,1,http://dummyimage.com/100x100.png/dddddd/000000,16,2,1,1
167,2,http://dummyimage.com/100x100.png/cc0000/ffffff,17,3,2,2
168,3,http://dummyimage.com/100x100.png/cc0000/ffffff,18,4,3,3
169,4,http://dummyimage.com/100x100.png/dddddd/000000,19,1,1,1
170,5,http://dummyimage.com/100x100.png/cc0000/ffffff,20,2,2,2
171,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,21,3,3,3
172,2,http://dummyimage.com/100x100.png/dddddd/000000,22,4,1,1
173,3,http://dummyimage.com/100x100.png/ff4444/ffffff,23,1,2,2
174,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,24,2,3,3
175,5,http://dummyimage.com/100x100.png/dddddd/000000,25,3,1,1
176,1,http://dummyimage.com/100x100.png/dddddd/000000,26,4,2,2
177,2,http://dummyimage.com/100x100.png/dddddd/000000,27,1,3,3
178,3,http://dummyimage.com/100x100.png/dddddd/000000,28,2,1,1
179,4,http://dummyimage.com/100x100.png/cc0000/ffffff,29,3,2,2
180,5,http://dummyimage.com/100x100.png/cc0000/ffffff,30,4,3,3
181,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,31,1,1,1
182,2,http://dummyimage.com/100x100.png/dddddd/000000,32,2,2,2
183,3,http://dummyimage.com/100x100.png/ff4444/ffffff,33,3,3,3
184,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,34,4,1,1
185,5,http://dummyimage.com/100x100.png/ff4444/ffffff,35,1,2,2
186,1,http://dummyimage.com/100x100.png/dddddd/000000,36,2,3,3
187,2,http://dummyimage.com/100x100.png/cc0000/ffffff,37,3,1,1
188,3,http://dummyimage.com/100x100.png/cc0000/ffffff,38,4,2,2
189,4,http://dummyimage.com/100x100.png/ff4444/ffffff,39,1,3,3
190,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,40,2,1,1
191,1,http://dummyimage.com/100x100.png/ff4444/ffffff,41,3,2,2
192,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,42,4,3,3
193,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,43,1,1,1
194,4,http://dummyimage.com/100x100.png/dddddd/000000,44,2,2,2
195,5,http://dummyimage.com/100x100.png/ff4444/ffffff,45,3,3,3
196,1,http://dummyimage.com/100x100.png/ff4444/ffffff,46,4,1,1
197,2,http://dummyimage.com/100x100.png/cc0000/ffffff,47,1,2,2
198,3,http://dummyimage.com/100x100.png/cc0000/ffffff,48,2,3,3
199,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,49,3,1,1
200,5,http://dummyimage.com/100x100.png/cc0000/ffffff,50,4,2,2
201,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,1,1,3,3
202,2,http://dummyimage.com/100x100.png/cc0000/ffffff,2,2,1,1
203,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,3,3,2,2
204,4,http://dummyimage.com/100x100.png/dddddd/000000,4,4,3,3
205,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,5,1,1,1
206,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,6,2,2,2
207,2,http://dummyimage.com/100x100.png/ff4444/ffffff,7,3,3,3
208,3,http://dummyimage.com/100x100.png/ff4444/ffffff,8,4,1,1
209,4,http://dummyimage.com/100x100.png/dddddd/000000,9,1,2,2
210,5,http://dummyimage.com/100x100.png/cc0000/ffffff,10,2,3,3
211,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,11,3,1,1
212,2,http://dummyimage.com/100x100.png/dddddd/000000,12,4,2,2
213,3,http://dummyimage.com/100x100.png/ff4444/ffffff,13,1,3,3
214,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,14,2,1,1
215,5,http://dummyimage.com/100x100.png/dddddd/000000,15,3,2,2
216,1,http://dummyimage.com/100x100.png/ff4444/ffffff,16,4,3,3
217,2,http://dummyimage.com/100x100.png/dddddd/000000,17,1,1,1
218,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,18,2,2,2
219,4,http://dummyimage.com/100x100.png/dddddd/000000,19,3,3,3
220,5,http://dummyimage.com/100x100.png/dddddd/000000,20,4,1,1
221,1,http://dummyimage.com/100x100.png/cc0000/ffffff,21,1,2,2
222,2,http://dummyimage.com/100x100.png/cc0000/ffffff,22,2,3,3
223,3,http://dummyimage.com/100x100.png/dddddd/000000,23,3,1,1
224,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,24,4,2,2
225,5,http://dummyimage.com/100x100.png/cc0000/ffffff,25,1,3,3
226,1,http://dummyimage.com/100x100.png/dddddd/000000,26,2,1,1
227,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,27,3,2,2
228,3,http://dummyimage.com/100x100.png/cc0000/ffffff,28,4,3,3
229,4,http://dummyimage.com/100x100.png/cc0000/ffffff,29,1,1,1
230,5,http://dummyimage.com/100x100.png/cc0000/ffffff,30,2,2,2
231,1,http://dummyimage.com/100x100.png/cc0000/ffffff,31,3,3,3
232,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,32,4,1,1
233,3,http://dummyimage.com/100x100.png/cc0000/ffffff,33,1,2,2
234,4,http://dummyimage.com/100x100.png/ff4444/ffffff,34,2,3,3
235,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,35,3,1,1
236,1,http://dummyimage.com/100x100.png/cc0000/ffffff,36,4,2,2
237,2,http://dummyimage.com/100x100.png/ff4444/ffffff,37,1,3,3
238,3,http://dummyimage.com/100x100.png/ff4444/ffffff,38,2,1,1
239,4,http://dummyimage.com/100x100.png/cc0000/ffffff,39,3,2,2
240,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,40,4,3,3
241,1,http://dummyimage.com/100x100.png/cc0000/ffffff,41,1,1,1
242,2,http://dummyimage.com/100x100.png/ff4444/ffffff,42,2,2,2
243,3,http://dummyimage.com/100x100.png/cc0000/ffffff,43,3,3,3
244,4,http://dummyimage.com/100x100.png/cc0000/ffffff,44,4,1,1
245,5,http://dummyimage.com/100x100.png/cc0000/ffffff,45,1,2,2
246,1,http://dummyimage.com/100x100.png/ff4444/ffffff,46,2,3,3
247,2,http://dummyimage.com/100x100.png/ff4444/ffffff,47,3,1,1
248,3,http://dummyimage.com/100x100.png/cc0000/ffffff,48,4,2,2
249,4,http://dummyimage.com/100x100.png/ff4444/ffffff,49,1,3,3
250,5,http://dummyimage.com/100x100.png/ff4444/ffffff,50,2,1,1
251,1,http://dummyimage.com/100x100.png/cc0000/ffffff,1,3,2,2
252,2,http://dummyimage.com/100x100.png/cc0000/ffffff,2,4,3,3
253,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,3,1,1,1
254,4,http://dummyimage.com/100x100.png/dddddd/000000,4,2,2,2
255,5,http://dummyimage.com/100x100.png/cc0000/ffffff,5,3,3,3
256,1,http://dummyimage.com/100x100.png/ff4444/ffffff,6,4,1,1
257,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,7,1,2,2
258,3,http://dummyimage.com/100x100.png/cc0000/ffffff,8,2,3,3
259,4,http://dummyimage.com/100x100.png/ff4444/ffffff,9,3,1,1
260,5,http://dummyimage.com/100x100.png/dddddd/000000,10,4,2,2
261,1,http://dummyimage.com/100x100.png/dddddd/000000,11,1,3,3
262,2,http://dummyimage.com/100x100.png/ff4444/ffffff,12,2,1,1
263,3,http://dummyimage.com/100x100.png/cc0000/ffffff,13,3,2,2
264,4,http://dummyimage.com/100x100.png/dddddd/000000,14,4,3,3
265,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,15,1,1,1
266,1,http://dummyimage.com/100x100.png/ff4444/ffffff,16,2,2,2
267,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,17,3,3,3
268,3,http://dummyimage.com/100x100.png/dddddd/000000,18,4,1,1
269,4,http://dummyimage.com/100x100.png/ff4444/ffffff,19,1,2,2
270,5,http://dummyimage.com/100x100.png/dddddd/000000,20,2,3,3
271,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,21,3,1,1
272,2,http://dummyimage.com/100x100.png/dddddd/000000,22,4,2,2
273,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,23,1,3,3
274,4,http://dummyimage.com/100x100.png/ff4444/ffffff,24,2,1,1
275,5,http://dummyimage.com/100x100.png/dddddd/000000,25,3,2,2
276,1,http://dummyimage.com/100x100.png/ff4444/ffffff,26,4,3,3
277,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,27,1,1,1
278,3,http://dummyimage.com/100x100.png/ff4444/ffffff,28,2,2,2
279,4,http://dummyimage.com/100x100.png/cc0000/ffffff,29,3,3,3
280,5,http://dummyimage.com/100x100.png/dddddd/000000,30,4,1,1
281,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,31,1,2,2
282,2,http://dummyimage.com/100x100.png/cc0000/ffffff,32,2,3,3
283,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,33,3,1,1
284,4,http://dummyimage.com/100x100.png/ff4444/ffffff,34,4,2,2
285,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,35,1,3,3
286,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,36,2,1,1
287,2,http://dummyimage.com/100x100.png/dddddd/000000,37,3,2,2
288,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,38,4,3,3
289,4,http://dummyimage.com/100x100.png/dddddd/000000,39,1,1,1
290,5,http://dummyimage.com/100x100.png/ff4444/ffffff,40,2,2,2
291,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,41,3,3,3
292,2,http://dummyimage.com/100x100.png/ff4444/ffffff,42,4,1,1
293,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,43,1,2,2
294,4,http://dummyimage.com/100x100.png/dddddd/000000,44,2,3,3
295,5,http://dummyimage.com/100x100.png/cc0000/ffffff,45,3,1,1
296,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,46,4,2,2
297,2,http://dummyimage.com/100x100.png/cc0000/ffffff,47,1,3,3
298,3,http://dummyimage.com/100x100.png/ff4444/ffffff,48,2,1,1
299,4,http://dummyimage.com/100x100.png/cc0000/ffffff,49,3,2,2
300,5,http://dummyimage.com/100x100.png/dddddd/000000,50,4,3,3
301,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,1,1,1,1
302,2,http://dummyimage.com/100x100.png/dddddd/000000,2,2,2,2
303,3,http://dummyimage.com/100x100.png/cc0000/ffffff,3,3,3,3
304,4,http://dummyimage.com/100x100.png/cc0000/ffffff,4,4,1,1
305,5,http://dummyimage.com/100x100.png/cc0000/ffffff,5,1,2,2
306,1,http://dummyimage.com/100x100.png/cc0000/ffffff,6,2,3,3
307,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,7,3,1,1
308,3,http://dummyimage.com/100x100.png/cc0000/ffffff,8,4,2,2
309,4,http://dummyimage.com/100x100.png/cc0000/ffffff,9,1,3,3
310,5,http://dummyimage.com/100x100.png/5fa2dd/ffffff,10,2,1,1
311,1,http://dummyimage.com/100x100.png/cc0000/ffffff,11,3,2,2
312,2,http://dummyimage.com/100x100.png/cc0000/ffffff,12,4,3,3
313,3,http://dummyimage.com/100x100.png/ff4444/ffffff,13,1,1,1
314,4,http://dummyimage.com/100x100.png/ff4444/ffffff,14,2,2,2
315,5,http://dummyimage.com/100x100.png/ff4444/ffffff,15,3,3,3
316,1,http://dummyimage.com/100x100.png/ff4444/ffffff,16,4,1,1
317,2,http://dummyimage.com/100x100.png/ff4444/ffffff,17,1,2,2
318,3,http://dummyimage.com/100x100.png/ff4444/ffffff,18,2,3,3
319,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,19,3,1,1
320,5,http://dummyimage.com/100x100.png/cc0000/ffffff,20,4,2,2
321,1,http://dummyimage.com/100x100.png/dddddd/000000,21,1,3,3
322,2,http://dummyimage.com/100x100.png/dddddd/000000,22,2,1,1
323,3,http://dummyimage.com/100x100.png/ff4444/ffffff,23,3,2,2
324,4,http://dummyimage.com/100x100.png/ff4444/ffffff,24,4,3,3
325,5,http://dummyimage.com/100x100.png/ff4444/ffffff,25,1,1,1
326,1,http://dummyimage.com/100x100.png/ff4444/ffffff,26,2,2,2
327,2,http://dummyimage.com/100x100.png/cc0000/ffffff,27,3,3,3
328,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,28,4,1,1
329,4,http://dummyimage.com/100x100.png/cc0000/ffffff,29,1,2,2
330,5,http://dummyimage.com/100x100.png/dddddd/000000,30,2,3,3
331,1,http://dummyimage.com/100x100.png/dddddd/000000,31,3,1,1
332,2,http://dummyimage.com/100x100.png/ff4444/ffffff,32,4,2,2
333,3,http://dummyimage.com/100x100.png/cc0000/ffffff,33,1,3,3
